Id
area_2016_km2
Net_Change_2007_2016
Gross_Loss_2007_2016
Gross_Gain_2007_2016
Country_Area_1996_km2
VDEM_2016
MPA_staff_capacity
BDH2020
ECI_2016
NDC_norm
Ind_prop
Ramsar_ha
Ramsar_sites
lights_growth_07_13
lights_growth_07_13_sum
travel_mean
Historic_SLR_Raw
Sediment_Mean
n_eye_buf_2007_2016
mean_SPEI_2007_2016
Goal1Score
Goal2Score
Goal3Score
Goal4Score
Goal5Score
Goal6Score
Goal7Score
Goal8Score
Goal9Score
Goal10Score
Goal11Score
Goal12Score
Goal13Score
Goal14Score
Goal15Score
Goal16Score
Goal17Score
