,year,Name,gmw_cover,gmw_change,gmw_loss,gmw_gain,country
125,2007,Aruba,48.19367519057756,-6.858533671201738,-7.238716214632754,0.3801825434310165,ABW
126,2007,Angola,28980.64043478603,-344.48352024398866,-538.1432356399685,193.6597153959798,AGO
127,2007,Anguilla,3.338858362975521,-0.9400643202966076,-1.032621290200451,0.0925569699038436,AIA
128,2007,United Arab Emirates,7953.94292112581,371.0732230968392,-302.0132651594704,673.0864882563096,ARE
129,2007,American Samoa,32.4619647726333,-0.1373019915255277,-0.1373019915255277,0.0,ASM
130,2007,French Southern Territories,672.3017576233925,0.0,0.0,0.0,ATF
131,2007,Antigua and Barbuda,805.6524685723581,-54.32782762984355,-61.52699487391835,7.199167244074802,ATG
132,2007,Australia,1045366.985858693,-20104.84577045279,-35192.16339696149,15087.3176265087,AUS
133,2007,Benin,2390.61019891768,-521.1319005690194,-602.173770960582,81.04187039156258,BEN
134,2007,"Bonaire, Sint Eustatius and Saba",221.0682863601555,-26.672820306553422,-27.1487394307609,0.4759191242074749,BES
135,2007,Bangladesh,448952.69155012,4235.567241741677,-8261.670199917164,12497.23744165884,BGD
136,2007,Bahrain,81.43103884815648,17.308305248863817,-3.663724609992983,20.9720298588568,BHR
141,2007,Bermuda,20.94119861723052,0.0,0.0,0.0,BMU
142,2007,Brazil,1138907.78768105,-8548.21016529065,-26884.86074384594,18336.65057855529,BRA
143,2007,Barbados,10.20326124582962,0.4267781667850696,0.0,0.4267781667850696,BRB
144,2007,Brunei,11477.50817799868,15.35162657936702,-64.14841939100273,79.50004597036975,BRN
145,2007,China,22504.19088099809,-1994.9942066981191,-3718.765128008103,1723.770921309984,CHN
146,2007,Côte d'Ivoire,5789.861703371058,5.2963890693606,-119.4008827932728,124.6972718626334,CIV
147,2007,Cameroon,197085.0497689201,729.1689431505474,-604.4593924614976,1333.628335612045,CMR
148,2007,Democratic Republic of the Congo,23806.63713649381,6.919702195985792,-155.8578657179784,162.7775679139642,COD
149,2007,Republic of Congo,2018.524149252844,0.9527946984181596,-16.80568678674296,17.75848148516112,COG
150,2007,Cook Islands,3.271537547457394,0.0,0.0,0.0,COK
151,2007,Colombia,279687.1461779882,-8336.440728595857,-11932.01288663819,3595.572158042333,COL
152,2007,Comoros,97.6058288357339,0.9092982887163776,-0.1845217863975556,1.093820075113933,COM
153,2007,Costa Rica,38275.94310733665,336.810699073788,-607.6951762004493,944.5058752742372,CRI
154,2007,Cuba,373721.9715503198,-15160.413803465432,-19015.9042750341,3855.490471568669,CUB
155,2007,Curaçao,44.53385163526644,0.0,0.0,0.0,CUW
156,2007,Cayman Islands,4565.352906571464,-118.23783976042928,-135.0616085510834,16.82376879065412,CYM
157,2007,Djibouti,741.1431490803453,-147.6702179918181,-155.1021864461857,7.431968454367579,DJI
158,2007,Dominica,1.243830352845552,-0.0455025646490205,-0.0455025646490205,0.0,DMA
159,2007,Dominican Republic,19618.29087978598,-23.211184817539333,-288.9724773487146,265.7612925311753,DOM
160,2007,Ecuador,154682.4025189378,-4718.171289368728,-7497.557245506011,2779.385956137283,ECU
161,2007,Egypt,217.7532178792224,-76.16028113454092,-77.0755033573461,0.915222222805166,EGY
162,2007,Eritrea,8225.382337380106,-1111.2558106377114,-1178.87471973119,67.61890909347869,ERI
163,2007,Fiji,48537.99696046847,-34.40572355501229,-354.464410914245,320.0586873592327,FJI
164,2007,Micronesia,8817.792094014469,-265.78370189591374,-277.9200861534728,12.13638425755906,FSM
165,2007,Gabon,175712.600424281,-232.975451042596,-919.1057728429466,686.1303218003507,GAB
166,2007,Ghana,15335.02488937746,-2732.0989706416603,-3715.320306426683,983.2213357850228,GHA
169,2007,Guadeloupe,3424.094689060611,7.307382007861904,-32.4628910406114,39.77027304847331,GLP
170,2007,Gambia,61441.78292909797,669.7049709977109,-669.425886698782,1339.130857696493,GMB
171,2007,Guinea-Bissau,274987.0948247245,694.8334883833177,-4666.232170719397,5361.065659102715,GNB
172,2007,Equatorial Guinea,25666.4251703866,32.69452145271604,-47.79699703877625,80.49151849149229,GNQ
173,2007,Grenada,194.3694136027081,0.5692581764878799,-1.522537349193699,2.091795525681579,GRD
176,2007,French Guiana,58661.14344922448,-782.9055610317437,-6592.004461727547,5809.098900695803,GUF
177,2007,Guam,51.83359453908472,0.0,0.0,0.0,GUM
178,2007,Guyana,30400.3536793979,-407.4728257266644,-1303.013026315896,895.5402005892316,GUY
181,2007,Haiti,15871.54412945675,-809.004169152812,-995.4893322878564,186.4851631350445,HTI
182,2007,Indonesia,3031524.208041936,-95778.0511926783,-119629.6761764318,23851.62498375351,IDN
185,2007,Iran,12312.22850897847,-1956.84801422956,-2131.797404276944,174.9493900473841,IRN
188,2007,Japan,1030.114419746541,-5.889851484062971,-17.4553939737659,11.56554248970293,JPN
189,2007,Kenya,54379.83178670538,-610.616311871395,-1222.221532264155,611.60522039276,KEN
190,2007,Cambodia,62989.2590543005,-1666.5148155526963,-1798.924413282656,132.4095977299596,KHM
191,2007,Kiribati,146.482619017108,0.0,0.0,0.0,KIR
192,2007,Saint Kitts and Nevis,34.70798087171728,0.9506540222230416,-0.6766850508844353,1.627339073107477,KNA
193,2007,Liberia,18826.7554914677,145.00005371328098,-194.4394771546897,339.4395308679707,LBR
194,2007,Saint Lucia,163.3717668147011,0.3910686526176933,-0.4127710932659837,0.803839745883677,LCA
195,2007,Sri Lanka,23544.62868109098,-2316.6166920943942,-2974.670764579045,658.0540724846512,LKA
196,2007,Saint-Martin,1.215028416273805,0.0,0.0,0.0,MAF
